;capacity_g;min_load;ramp_up;ramp_down;minimum_up_time;minimum_down_time;eff;Co2/Mwh (kg);nb_plants;type_g;min_load_div;O & M cost
0;1358;0.308;0.012000000000000002;-0.014;152;76;0.55;369.8186814792137;3;Fossil Gas;0.10266666666666667;1.43
1;1712;0.308;0.012;-0.014;152;76;0.54;376.66658774076853;4;Fossil Gas;0.077;1.43
2;984;0.30066666666666664;0.011666666666666667;-0.013333333;124.33333333333333;80.33333333333333;0.53;383.7738304149343;3;Fossil Gas;0.10022222222222221;1.43
3;2268;0.3305;0.011166666666666667;-0.013166667;89.5;71.83333333333333;0.52;391.1543120042566;6;Fossil Gas;0.055083333;1.43
4;790;0.308;0.012;-0.014;152;76;0.5;406.8001958045959;1;Fossil Gas;0.308;1.43
5;435;0.308;0.012;-0.014;152;76;0.49;415.10226190389636;1;Fossil Gas;0.308;1.43
6;851;0.32275;0.011;-0.01275;75;75.5;0.48;423.7500770179207;4;Fossil Gas;0.0806875;1.43
7;260;0.286;0.011;-0.012;69;89;0.46;430.71120562830293;2;Fossil Gas;0.143;1.43
8;103;0.31671875;0.01134375;-0.013125;;;0.4779999999999999;430.71120562830293;1;Fossil Gas;0.31671875;1.43
9;422;0.308;0.012;-0.014;152;76;0.5;430.71120562830293;1;Fossil Gas;0.308;1.43
10;676;0.3215;0.0115;-0.0135;114.5;73.5;0.46;442.1744507677455;2;Fossil Gas;0.16075;1.43
11;229;0.31671875;0.01134375;-0.013125;;;0.31;483;3;Fossil Gas;0.10557291666666667;1.43
12;144;0.479;0.013;-0.012;60;60;0.39;521.5390119732955;1;Fossil Gas;0.479;1.43
13;209;0.335;0.011;-0.013;77;71;0.38;535.2635957634944;1;Fossil Gas;0.335;1.43
14;725;0.271;0.008;-0.01;60;60;0.36;565.0004462091765;2;Fossil Gas;0.1355;1.43
15;440;0.308;0.012;-0.014;152;76;0.54;631.3336539638269;1;Fossil Gas;0.308;1.43
16;492;0.498;0.009;-0.012;1694;342;1;0;1;Nuclear;0.498;3.47
17;650;0.28;0.011;-0.013;211;69;0.43;792.8387685404335;1;Fossil Hard coal;0.28;5.71
18;1801;0.28;0.011;-0.013;211;69;0.41;831.5130737934301;2;Fossil Hard coal;0.14;5.71
19;1580;0.28;0.011;-0.013;211;69;0.4;852.3008768783337;2;Fossil Hard coal;0.14;5.71
20;643;0.28;0.011;-0.013;211;69;0.39;874.1550760122442;1;Fossil Hard coal;0.28;5.71
