,Fossil Hard coal,Fossil Gas,Nuclear,ETS,A1,P20
0,10.1184,22.475,5.1,27.37,0.3858893654552889,0.9360995003544914
1,10.1184,22.475,5.1,27.37,0.3858893654552889,0.9360995003544914
2,10.1184,22.255,5.1,25.28,0.3821120279523672,0.926822925791407
3,10.1184,22.93,5.1,25.66,0.3937015861999678,0.9552851432008705
4,10.1184,22.93,5.1,25.66,0.3937015861999678,0.9552851432008705
5,10.1184,22.93,5.1,25.66,0.3937015861999678,0.9552851432008705
6,9.8472,21.53,5.1,24.22,0.3696639839086484,0.8962523959812425
7,9.8472,22.09,5.1,24.78,0.3792790248251765,0.9198654948690944
8,9.8472,21.72,5.1,23.93,0.37292622993389896,0.9042639831039064
9,9.8472,21.675,5.1,23.96,0.3721535927173921,0.9023665019432758
10,9.8472,22.255,5.1,24.52,0.3821120279523672,0.926822925791407
11,9.8472,22.255,5.1,24.52,0.3821120279523672,0.926822925791407
12,9.8472,22.255,5.1,24.52,0.3821120279523672,0.926822925791407
13,9.9372,21.675,5.1,24.33,0.3721535927173921,0.9023665019432758
14,9.9372,22.0,5.1,24.4,0.37773375039216284,0.916070532547832
15,9.9372,22.005,5.1,25.18,0.3778195989717747,0.9162813637879024
16,9.9372,22.995,5.1,25.39,0.3948176177349222,0.9580259493217821
17,9.9372,22.605,5.1,26.63,0.3881214285251973,0.941581112596314
18,9.9372,22.605,5.1,26.63,0.3881214285251973,0.941581112596314
19,9.9372,22.605,5.1,26.63,0.3881214285251973,0.941581112596314
20,9.7884,22.605,5.1,26.25,0.3881214285251973,0.941581112596314
21,9.7884,21.815,5.1,26.94,0.37455735294652415,0.9082697766652384
22,9.7884,22.19,5.1,26.47,0.38099599641741316,0.9240821196704955
23,9.7884,21.28,5.1,25.85,0.36537155492805595,0.8857108339777379
24,9.7884,20.89,5.1,25.68,0.35867536571833103,0.8692659972522702
25,9.7884,20.89,5.1,25.68,0.35867536571833103,0.8692659972522702
26,9.7884,20.89,5.1,25.68,0.35867536571833103,0.8692659972522702
27,9.4896,20.55,5.1,24.5,0.3528376623047249,0.8549294729275038
28,9.4896,20.585,5.1,25.08,0.35343860236200775,0.8564052916079937
29,9.4896,20.18,5.1,24.72,0.3464848674134474,0.8393279611623159
30,9.4896,19.85,5.1,23.9,0.340818861159065,0.8254130993176894
31,9.4896,19.3,5.1,23.55,0.33137551740176074,0.8022216629099782
32,9.4896,19.3,5.1,23.55,0.33137551740176074,0.8022216629099782
33,9.4896,19.3,5.1,23.55,0.33137551740176074,0.8022216629099782
34,9.0564,19.355,5.1,24.63,0.33231985177749135,0.8045408065507491
35,9.0564,19.14,5.1,24.74,0.32862836285418134,0.7954750632277346
36,9.0564,18.915,5.1,25.24,0.3247651767716481,0.7859876574245809
37,9.0564,18.91,5.1,25.02,0.32467932819203604,0.7857768261845105
38,9.0564,18.265,5.1,23.91,0.3136048614221068,0.7585795962154678
39,9.0564,18.265,5.1,23.91,0.3136048614221068,0.7585795962154678
40,9.0564,18.265,5.1,23.91,0.3136048614221068,0.7585795962154678
41,8.848799999999999,18.055,5.1,23.97,0.3099992210784089,0.7497246841325234
42,8.848799999999999,17.785,5.1,22.25,0.30536339777936883,0.7383397971687381
43,8.848799999999999,18.02,5.1,22.51,0.3093982810211258,0.7482488654520322
44,8.848799999999999,17.755,5.1,21.37,0.3048483063016976,0.7370748097283176
45,8.848799999999999,18.1,5.1,22.04,0.3107718582949157,0.7516221652931543
46,8.848799999999999,18.1,5.1,22.04,0.3107718582949157,0.7516221652931543
47,8.848799999999999,18.1,5.1,22.04,0.3107718582949157,0.7516221652931543
48,8.8752,18.1,5.1,21.6,0.3107718582949157,0.7516221652931543
49,8.8752,17.705,5.1,21.81,0.3039898205055791,0.7349664973276167
50,8.8752,18.145,5.1,22.04,0.3115444955114223,0.7535196464537849
51,8.8752,17.52,5.1,20.32,0.30081342305994047,0.7271657414450228
52,8.8752,17.23,5.1,20.43,0.2958342054424528,0.7149375295209569
53,8.8752,17.23,5.1,20.43,0.2958342054424528,0.7149375295209569
54,8.8752,17.23,5.1,20.43,0.2958342054424528,0.7149375295209569
55,8.928,16.945,5.1,20.65,0.2909408364045771,0.7029201488369615
56,8.928,17.045,5.1,21.08,0.2926578079968142,0.7071367736383634
57,8.928,17.615,5.1,22.7,0.30244454607256566,0.7311715350063547
58,8.928,17.815,5.1,23.13,0.30587848925704,0.7396047846091589
59,8.928,17.32,5.1,23.73,0.2973794798754663,0.718732491842219
60,8.928,17.32,5.1,23.73,0.2973794798754663,0.718732491842219
61,8.928,17.32,5.1,23.73,0.2973794798754663,0.718732491842219
62,8.8452,17.4,5.1,24.6,0.2987530571492558,0.7221057916833403
63,8.8452,17.18,5.1,24.42,0.2949757196463343,0.7128292171202559
64,8.8452,16.85,5.1,23.6,0.28930971339195194,0.6989143552756295
65,8.8452,16.87,5.1,24.76,0.2896531077103993,0.6997576802359097
66,8.8452,16.73,5.1,24.52,0.2872493474812673,0.6938544055139467
67,8.8452,16.73,5.1,24.52,0.2872493474812673,0.6938544055139467
68,8.8452,16.73,5.1,24.52,0.2872493474812673,0.6938544055139467
69,8.6424,16.625,5.1,23.78,0.2854465273094185,0.6894269494724748
70,8.6424,16.21,5.1,23.8,0.27832109520163456,0.6719279565466567
71,8.6424,15.725,5.1,23.72,0.2699937829792845,0.6514773262598571
72,8.6424,15.605,5.1,24.2,0.2679334170686,0.6464173764981747
73,8.6424,15.25,5.1,23.92,0.2618381679161582,0.6314483584531979
74,8.6424,15.25,5.1,23.92,0.2618381679161582,0.6314483584531979
75,8.6424,15.25,5.1,23.92,0.2618381679161582,0.6314483584531979
76,8.5368,14.98,5.1,23.22,0.25720234461711816,0.6200634714894127
77,8.5368,15.005,5.1,22.53,0.25763158751517723,0.6211176276897628
78,8.5368,15.215,5.1,23.02,0.26123722785887515,0.6299725397727067
79,8.5368,14.565,5.1,22.28,0.250076912509334,0.6025644785635941
80,8.5368,14.455,5.1,21.99,0.24818824375787332,0.5979261912820517
81,8.5368,14.455,5.1,21.99,0.24818824375787332,0.5979261912820517
82,8.5368,14.455,5.1,21.99,0.24818824375787332,0.5979261912820517
83,8.2656,14.185,5.1,22.23,0.24355242045883307,0.5865413043182665
84,8.2656,14.385,5.1,22.84,0.24698636364330742,0.5949745539210707
85,8.2656,14.995,5.1,23.15,0.25745989035595346,0.6206959652096224
86,8.2656,14.43,5.1,23.55,0.24775900085981387,0.5968720350817013
87,8.2656,14.215,5.1,22.82,0.24406751193650406,0.5878062917586867
88,8.2656,14.215,5.1,22.82,0.24406751193650406,0.5878062917586867
89,8.2656,14.215,5.1,22.82,0.24406751193650406,0.5878062917586867
90,6.774,13.845,5.1,23.16,0.23771471704522693,0.5722047799934995
91,6.774,13.455,5.1,23.25,0.23101852783550222,0.555759943268032
92,6.774,14.19,5.1,24.45,0.24363826903844496,0.5867521355583366
93,6.774,14.805,5.1,25.72,0.2541976443307031,0.6126843780869587
94,6.774,16.635,5.1,25.9,0.2856182244686421,0.6898486119526147
95,6.774,16.635,5.1,25.9,0.2856182244686421,0.6898486119526147
96,6.774,16.635,5.1,25.9,0.2856182244686421,0.6898486119526147
97,7.14,15.965,5.1,25.58,0.2741145148006536,0.6615972257832219
98,7.14,16.755,5.1,26.84,0.2876785903793265,0.6949085617142976
99,7.14,15.73,5.1,27.41,0.2700796315588962,0.651688157499927
100,7.14,15.995,5.1,28.58,0.27462960627832456,0.6628622132236424
101,7.14,15.855,5.1,27.82,0.2722258460491927,0.6569589385016797
102,7.14,15.855,5.1,27.82,0.2722258460491927,0.6569589385016797
103,7.14,15.855,5.1,27.82,0.2722258460491927,0.6569589385016797
104,7.14,15.01,5.1,28.05,0.2577174360947893,0.6213284589298328
105,7.14,14.835,5.1,28.25,0.2547127358083742,0.6139493655273796
106,7.14,15.195,5.1,28.71,0.2608938335404278,0.6291292148124262
107,7.14,14.46,5.1,28.14,0.24827409233748504,0.5981370225221216
108,7.14,14.46,5.1,28.14,0.24827409233748504,0.5981370225221216
109,7.14,14.46,5.1,28.14,0.24827409233748504,0.5981370225221216
110,7.14,14.46,5.1,28.14,0.24827409233748504,0.5981370225221216
111,7.131599999999999,14.46,5.1,28.14,0.24827409233748504,0.5981370225221216
112,7.131599999999999,14.42,5.1,28.8,0.24758730370059026,0.5964503726015612
113,7.131599999999999,14.265,5.1,28.66,0.24492599773262258,0.5899146041593878
114,7.131599999999999,14.535,5.1,28.54,0.24956182103166302,0.6012994911231735
115,7.131599999999999,14.425,5.1,27.09,0.24767315228020198,0.5966612038416311
116,7.131599999999999,14.425,5.1,27.09,0.24767315228020198,0.5966612038416311
117,7.131599999999999,14.425,5.1,27.09,0.24767315228020198,0.5966612038416311
118,7.1112,14.525,5.1,27.55,0.24939012387243925,0.6008778286430334
119,7.1112,14.39,5.1,27.43,0.2470722122229191,0.5951853851611406
120,7.1112,14.055,5.1,26.89,0.24132035738892485,0.5810596920764438
121,7.1112,14.365,5.1,25.79,0.24664296932485966,0.5941312289607901
122,7.1112,14.565,5.1,26.29,0.250076912509334,0.6025644785635941
123,7.1112,14.565,5.1,26.29,0.250076912509334,0.6025644785635941
124,7.1112,14.565,5.1,26.29,0.250076912509334,0.6025644785635941
125,7.1772,14.335,5.1,26.42,0.24612787784718868,0.5928662415203693
126,7.1772,14.155,5.1,27.47,0.24303732898116193,0.5852763168778456
127,7.1772,14.32,5.1,27.99,0.2458703321083532,0.5922337478001589
128,7.1772,14.455,5.1,27.57,0.24818824375787332,0.5979261912820517
129,7.1772,13.995,5.1,26.62,0.24029017443358253,0.5785297171956028
130,7.1772,13.995,5.1,26.62,0.24029017443358253,0.5785297171956028
131,7.1772,13.995,5.1,26.62,0.24029017443358253,0.5785297171956028
132,7.051200000000001,13.76,5.1,26.03,0.23625529119182534,0.5686206489123077
133,7.051200000000001,13.785,5.1,26.87,0.2366845340898846,0.5696748051126584
134,7.051200000000001,13.855,5.1,26.96,0.2378864142044507,0.5726264424736398
135,7.051200000000001,13.385,5.1,26.56,0.22981664772093632,0.5528083059070505
136,7.051200000000001,12.855,5.1,25.96,0.2207166982820796,0.5304601944596201
137,7.051200000000001,12.855,5.1,25.96,0.2207166982820796,0.5304601944596201
138,7.051200000000001,12.855,5.1,25.96,0.2207166982820796,0.5304601944596201
139,6.9552,12.905,5.1,26.16,0.22157518407819815,0.5325685068603209
140,6.9552,12.705,5.1,26.35,0.218141240893724,0.5241352572575171
141,6.9552,12.65,5.1,27.34,0.2171969065179934,0.5218161136167456
142,6.9552,12.595,5.1,27.03,0.21625257214226315,0.5194969699759747
143,6.9552,12.25,5.1,26.44,0.2103290201490451,0.5049496144111381
144,6.9552,12.25,5.1,26.44,0.2103290201490451,0.5049496144111381
145,6.9552,12.25,5.1,26.44,0.2103290201490451,0.5049496144111381
146,6.747599999999999,12.25,5.1,26.61,0.2103290201490451,0.5049496144111381
147,6.747599999999999,12.52,5.1,26.46,0.21496484344808517,0.5163345013749233
148,6.747599999999999,12.225,5.1,26.51,0.20989977725098583,0.5038954582107875
149,6.747599999999999,11.475,5.1,26.28,0.1970224903092076,0.4722707722002726
150,6.747599999999999,11.205,5.1,25.45,0.19238666701016746,0.4608858852364871
151,6.747599999999999,11.205,5.1,25.45,0.19238666701016746,0.4608858852364871
152,6.747599999999999,11.205,5.1,25.45,0.19238666701016746,0.4608858852364871
153,6.231599999999999,11.1,5.1,24.74,0.1905838468383184,0.4564584291950151
154,6.231599999999999,11.91,5.1,25.58,0.20449131673543902,0.4906130900863711
155,6.231599999999999,11.6,5.1,25.28,0.19916870479950402,0.47754155320202535
156,6.231599999999999,11.105,5.1,25.09,0.19066969541793038,0.45666926043508543
157,6.231599999999999,11.52,5.1,25.66,0.19779512752571415,0.4741682533609032
158,6.231599999999999,11.52,5.1,25.66,0.19779512752571415,0.4741682533609032
159,6.231599999999999,11.52,5.1,25.66,0.19779512752571415,0.4741682533609032
160,6.1152,11.805,5.1,26.36,0.20268849656358998,0.48618563404489884
161,6.1152,11.2,5.1,26.11,0.19230081843055546,0.460675053996417
162,6.1152,11.14,5.1,25.92,0.19127063547521325,0.458145079115576
163,6.1152,11.395,5.1,26.05,0.1956489130354179,0.46889747235915086
164,6.1152,11.32,5.1,26.15,0.19436118434124,0.4657350037580994
165,6.1152,11.32,5.1,26.15,0.19436118434124,0.4657350037580994
