Time,Wind MWH,Solar MWH,Total RES
01/01/2019 00:00,2273.75,0,2273.75
01/01/2019 01:00,2375.75,0,2375.75
01/01/2019 02:00,2514,0,2514
01/01/2019 03:00,2648.25,0,2648.25
01/01/2019 04:00,2711.5,0,2711.5
01/01/2019 05:00,2770.5,0,2770.5
01/01/2019 06:00,2783,0,2783
01/01/2019 07:00,2717.25,0,2717.25
01/01/2019 08:00,2602,12,2614
01/01/2019 09:00,2483.75,57,2540.75
01/01/2019 10:00,2477.25,146.25,2623.5
01/01/2019 11:00,2628,288.75,2916.75
01/01/2019 12:00,2866.75,448.75,3315.5
01/01/2019 13:00,3108.25,492.75,3601
01/01/2019 14:00,3315.25,334.25,3649.5
01/01/2019 15:00,3472.5,116,3588.5
01/01/2019 16:00,3539.25,12.5,3551.75
01/01/2019 17:00,3609.5,0,3609.5
01/01/2019 18:00,3667.25,0,3667.25
01/01/2019 19:00,3688.75,0,3688.75
01/01/2019 20:00,3686.25,0,3686.25
01/01/2019 21:00,3673.75,0,3673.75
01/01/2019 22:00,3653,0,3653
01/01/2019 23:00,3644.75,0,3644.75
02/01/2019 00:00,3558,0,3558
02/01/2019 01:00,3548.75,0,3548.75
02/01/2019 02:00,3544.75,0,3544.75
02/01/2019 03:00,3527.75,0,3527.75
02/01/2019 04:00,3484.75,0,3484.75
02/01/2019 05:00,3410.25,0,3410.25
02/01/2019 06:00,3262.75,0,3262.75
02/01/2019 07:00,3050.25,0.25,3050.5
02/01/2019 08:00,2777.25,152.75,2930
02/01/2019 09:00,2485.25,537,3022.25
02/01/2019 10:00,2267.25,799.75,3067
02/01/2019 11:00,2109.75,888,2997.75
02/01/2019 12:00,1990.75,861.75,2852.5
02/01/2019 13:00,1843.5,677.25,2520.75
02/01/2019 14:00,1645.75,392.25,2038
02/01/2019 15:00,1514,133,1647
02/01/2019 16:00,1430.25,15,1445.25
02/01/2019 17:00,1359.5,0,1359.5
02/01/2019 18:00,1269.5,0,1269.5
02/01/2019 19:00,1195.5,0,1195.5
02/01/2019 20:00,1162.75,0,1162.75
02/01/2019 21:00,1136,0,1136
02/01/2019 22:00,1123.5,0,1123.5
02/01/2019 23:00,1065.75,0,1065.75
03/01/2019 00:00,904,0,904
03/01/2019 01:00,852.25,0,852.25
03/01/2019 02:00,825.25,0,825.25
03/01/2019 03:00,833.5,0,833.5
03/01/2019 04:00,830.25,0,830.25
03/01/2019 05:00,779,0,779
03/01/2019 06:00,752.25,0,752.25
03/01/2019 07:00,792.25,0.25,792.5
03/01/2019 08:00,816.5,36.5,853
03/01/2019 09:00,769.75,130.5,900.25
03/01/2019 10:00,709.25,209,918.25
03/01/2019 11:00,651.5,260.25,911.75
03/01/2019 12:00,604.5,283.5,888
03/01/2019 13:00,575,252,827
03/01/2019 14:00,555.25,162.75,718
03/01/2019 15:00,556.5,64,620.5
03/01/2019 16:00,621,12,633
03/01/2019 17:00,651.5,0,651.5
03/01/2019 18:00,644,0,644
03/01/2019 19:00,628.25,0,628.25
03/01/2019 20:00,602,0,602
03/01/2019 21:00,586.5,0,586.5
03/01/2019 22:00,564.5,0,564.5
03/01/2019 23:00,518.25,0,518.25
04/01/2019 00:00,439.25,0,439.25
04/01/2019 01:00,612.5,0,612.5
04/01/2019 02:00,820.5,0,820.5
04/01/2019 03:00,1132.75,0,1132.75
04/01/2019 04:00,1347.5,0,1347.5
04/01/2019 05:00,1406.5,0,1406.5
04/01/2019 06:00,1474.75,0,1474.75
04/01/2019 07:00,1496,0.25,1496.25
04/01/2019 08:00,1550.75,25.75,1576.5
04/01/2019 09:00,1605.75,94,1699.75
04/01/2019 10:00,1657.25,152.5,1809.75
04/01/2019 11:00,1732,177.25,1909.25
04/01/2019 12:00,1845.75,171.5,2017.25
04/01/2019 13:00,1985.75,135.5,2121.25
04/01/2019 14:00,2145,80.75,2225.75
04/01/2019 15:00,2231.5,32,2263.5
04/01/2019 16:00,2139.75,7.5,2147.25
04/01/2019 17:00,2021.75,0,2021.75
04/01/2019 18:00,1967.5,0,1967.5
04/01/2019 19:00,1982.25,0,1982.25
04/01/2019 20:00,1984.75,0,1984.75
04/01/2019 21:00,2032,0,2032
04/01/2019 22:00,2123.75,0,2123.75
04/01/2019 23:00,2270.75,0,2270.75
05/01/2019 00:00,2587.5,0,2587.5
05/01/2019 01:00,2782.75,0,2782.75
05/01/2019 02:00,2933.5,0,2933.5
05/01/2019 03:00,3109.75,0,3109.75
05/01/2019 04:00,3207,0,3207
05/01/2019 05:00,3257,0,3257
05/01/2019 06:00,3263.75,0,3263.75
05/01/2019 07:00,3200.25,0.25,3200.5
05/01/2019 08:00,3071,8,3079
05/01/2019 09:00,2952,28.25,2980.25
05/01/2019 10:00,2910.75,50.75,2961.5
05/01/2019 11:00,2919.75,66.25,2986
05/01/2019 12:00,2869.75,73,2942.75
05/01/2019 13:00,2720.5,70.75,2791.25
05/01/2019 14:00,2603.25,53.5,2656.75
05/01/2019 15:00,2534.25,25,2559.25
05/01/2019 16:00,2481.25,6.75,2488
05/01/2019 17:00,2454.25,0,2454.25
05/01/2019 18:00,2434.5,0,2434.5
05/01/2019 19:00,2386,0,2386
05/01/2019 20:00,2287,0,2287
05/01/2019 21:00,2155.75,0,2155.75
05/01/2019 22:00,2076.25,0,2076.25
05/01/2019 23:00,2027.5,0,2027.5
06/01/2019 00:00,2000,0,2000
06/01/2019 01:00,1921.75,0,1921.75
06/01/2019 02:00,1804.75,0,1804.75
06/01/2019 03:00,1654.25,0,1654.25
06/01/2019 04:00,1446.25,0,1446.25
06/01/2019 05:00,1232.5,0,1232.5
06/01/2019 06:00,1038.25,0,1038.25
06/01/2019 07:00,867.5,0,867.5
06/01/2019 08:00,709.5,30.75,740.25
06/01/2019 09:00,591.25,163,754.25
06/01/2019 10:00,502.75,333.25,836
06/01/2019 11:00,442.5,404,846.5
06/01/2019 12:00,395.75,434.25,830
06/01/2019 13:00,354,415,769
06/01/2019 14:00,333,326.75,659.75
06/01/2019 15:00,324.5,167.75,492.25
06/01/2019 16:00,425.5,15.5,441
06/01/2019 17:00,573.75,0,573.75
06/01/2019 18:00,765,0,765
06/01/2019 19:00,988.75,0,988.75
06/01/2019 20:00,1248.25,0,1248.25
06/01/2019 21:00,1391.5,0,1391.5
06/01/2019 22:00,1310.5,0,1310.5
06/01/2019 23:00,1218.5,0,1218.5
07/01/2019 00:00,699.5,0,699.5
07/01/2019 01:00,766,0,766
07/01/2019 02:00,855.25,0,855.25
07/01/2019 03:00,872.75,0,872.75
07/01/2019 04:00,907.5,0,907.5
07/01/2019 05:00,973.25,0,973.25
07/01/2019 06:00,1080.75,0,1080.75
07/01/2019 07:00,1178.25,0.5,1178.75
07/01/2019 08:00,1303,12.5,1315.5
07/01/2019 09:00,1482.25,38.5,1520.75
07/01/2019 10:00,1783.25,54.5,1837.75
07/01/2019 11:00,2113.75,82,2195.75
07/01/2019 12:00,2497.75,135.5,2633.25
07/01/2019 13:00,2917.5,163.75,3081.25
07/01/2019 14:00,3245,115,3360
07/01/2019 15:00,3446.75,43.5,3490.25
07/01/2019 16:00,3611.5,10,3621.5
07/01/2019 17:00,3818.25,0,3818.25
07/01/2019 18:00,3965,0,3965
07/01/2019 19:00,4055.75,0,4055.75
07/01/2019 20:00,4116.25,0,4116.25
07/01/2019 21:00,4146.25,0,4146.25
07/01/2019 22:00,4142.5,0,4142.5
07/01/2019 23:00,4184.75,0,4184.75
08/01/2019 00:00,3658.25,0,3658.25
08/01/2019 01:00,3734.5,0,3734.5
08/01/2019 02:00,3816.5,0,3816.5
08/01/2019 03:00,3878.5,0,3878.5
08/01/2019 04:00,3945.75,0,3945.75
08/01/2019 05:00,3997.5,0,3997.5
08/01/2019 06:00,4044.75,0,4044.75
08/01/2019 07:00,4080.5,0.5,4081
08/01/2019 08:00,4091,50.5,4141.5
08/01/2019 09:00,4099.75,188.5,4288.25
08/01/2019 10:00,4098.75,298.25,4397
08/01/2019 11:00,4096.25,320.75,4417
08/01/2019 12:00,4090.5,308,4398.5
08/01/2019 13:00,4091.5,292.5,4384
08/01/2019 14:00,4084.75,224.5,4309.25
08/01/2019 15:00,4114.25,102.5,4216.75
08/01/2019 16:00,4129.75,22.5,4152.25
08/01/2019 17:00,4119.5,0,4119.5
08/01/2019 18:00,4089.25,0,4089.25
08/01/2019 19:00,4053.25,0,4053.25
08/01/2019 20:00,3998.75,0,3998.75
08/01/2019 21:00,3913.25,0,3913.25
08/01/2019 22:00,3761.75,0,3761.75
08/01/2019 23:00,3641.5,0,3641.5
09/01/2019 00:00,3603.75,0,3603.75
09/01/2019 01:00,3553.25,0,3553.25
09/01/2019 02:00,3466.75,0,3466.75
09/01/2019 03:00,3406.5,0,3406.5
09/01/2019 04:00,3347.75,0,3347.75
09/01/2019 05:00,3216.75,0,3216.75
09/01/2019 06:00,3140.25,0,3140.25
09/01/2019 07:00,2967.75,0.5,2968.25
09/01/2019 08:00,2772.75,183.75,2956.5
09/01/2019 09:00,2644.5,683,3327.5
